DateBeforeChange,DateAfterChange,Change,Ticker,Name,Sector,Exchange
20081128,20081231,1,MFE,MCAFEE,Information Technology,New York Stock Exchange Inc.
20081128,20081231,1,RSG,REPUBLIC SERVICES INC,Industrials,New York Stock Exchange Inc.
20081031,20081128,1,CEPH,CEPHALON INC,Health Care,NASDAQ
20081031,20081128,1,LIFE,LIFE TECHNOLOGIES CORP,Health Care,NASDAQ
20081031,20081128,1,PBCT,PEOPLES UNITED FINANCIAL INC,Financials,NASDAQ
20081031,20081128,1,SJM,JM SMUCKER,Consumer Staples,New York Stock Exchange Inc.
20081031,20081128,1,SRCL,STERICYCLE INC,Industrials,NASDAQ
20081031,20081128,1,WYNN,WYNN RESORTS LTD,Consumer Discretionary,NASDAQ
20081031,20081128,1,XRAY,DENTSPLY SIRONA INC,Health Care,NASDAQ
20080930,20081031,1,DPS,DR PEPPER SNAPPLE GROUP INC,Consumer Staples,New York Stock Exchange Inc.
20080930,20081031,1,FLS,FLOWSERVE CORP,Industrials,New York Stock Exchange Inc.
20080930,20081031,1,NDAQ,NASDAQ INC,Financials,NASDAQ
20080930,20081031,1,WEC,WEC ENERGY GROUP INC,Utilities,New York Stock Exchange Inc.
20080829,20080930,1,APH,AMPHENOL CORP CLASS A,Information Technology,New York Stock Exchange Inc.
20080829,20080930,1,CRM,SALESFORCE.COM INC,Information Technology,New York Stock Exchange Inc.
20080829,20080930,1,FAST,FASTENAL,Industrials,NASDAQ
20080829,20080930,1,HRS,HARRIS CORP,Information Technology,New York Stock Exchange Inc.
20080829,20080930,1,PXD,PIONEER NATURAL RESOURCE,Energy,New York Stock Exchange Inc.
20080829,20080930,1,WEN,WENDYS/ARBYS GROUP INC.,Consumer Discretionary,New York Stock Exchange Inc.
20080731,20080829,1,CF,CF INDUSTRIES HOLDINGS INC,Materials,New York Stock Exchange Inc.
20080731,20080829,1,IVZ,INVESCO LTD,Financials,New York Stock Exchange Inc.
20080630,20080731,1,AKS,AK STEEL HOLDING CORP,Materials,New York Stock Exchange Inc.
20080630,20080731,1,DVA,DAVITA INC,Health Care,New York Stock Exchange Inc.
20080630,20080731,1,MA,MASTERCARD INC CLASS A,Information Technology,New York Stock Exchange Inc.
20080630,20080731,1,SNI,SCRIPPS NETWORKS INTERACTIVE INC C,Consumer Discretionary,NASDAQ
