Symbol,Date,ShortVolume,ShortExemptVolume,TotalVolume,Market,ShortVol-Exempt
HIG,20200601,197858,9947,846796,"B,Q,N",187911
VMC,20200601,108177,1175,758554,"B,Q,N",107002
DGX,20200601,137644,600,508654,"B,Q,N",137044
ODFL,20200601,84338,1000,164572,"B,Q,N",83338
MTB,20200601,66653,237,163582,"B,Q,N",66416
KSU,20200601,83955,531,163620,"Q,N",83424
COO,20200601,33745,0,53548,"B,Q,N",33745
KMX,20200601,193670,2337,373267,"B,Q,N",191333
VTR,20200601,341431,1390,1795945,"B,Q,N",340041
WST,20200601,41352,1674,86300,"B,Q,N",39678
DOV,20200601,103022,200,177164,"B,Q,N",102822
ABC,20200601,129162,4911,319178,"B,Q,N",124251
IP,20200601,303146,20213,823312,"B,Q,N",282933
PAYC,20200601,153385,419,284619,"B,Q,N",152966
FCX,20200601,1761059,7015,4301350,"B,Q,N",1754044
DPZ,20200601,145612,982,262411,"B,Q,N",144630
IFF,20200601,109111,1421,180723,"B,Q,N",107690
TSCO,20200601,320500,400,455879,"B,Q,N",320100
TTWO,20200601,234214,4937,519109,"B,Q,N",229277
EVRG,20200601,69934,5403,196702,"B,Q,N",64531
ULTA,20200601,310311,822,543473,"B,Q,N",309489
BR,20200601,52306,300,116142,"B,Q,N",52006
ZBRA,20200601,55100,0,89579,"B,Q,N",55100
LDOS,20200601,71690,3250,123684,"B,Q,N",68440
HOLX,20200601,154763,5629,316365,"B,Q,N",149134
BXP,20200601,84301,1622,241005,"B,Q,N",82679
OXY,20200601,8514590,53296,15640604,"B,Q,N",8461294
GWW,20200601,27838,912,58416,"B,Q,N",26926
SYF,20200601,585969,3825,1330977,"B,Q,N",582144
STE,20200601,60800,0,109705,"B,Q,N",60800
PEAK,20200601,320361,6299,2242655,"B,Q,N",314062
MAS,20200601,425851,1219,643710,"Q,N",424632
HES,20200601,247716,724,524120,"B,Q,N",246992
HPE,20200601,1581042,10543,2690177,"B,Q,N",1570499
JKHY,20200601,41742,3035,156834,"B,Q,N",38707
NDAQ,20200601,60866,1804,212793,"B,Q,N",59062
NUE,20200601,188186,5503,389658,"B,Q,N",182683
GRMN,20200601,130649,1900,269052,"B,Q,N",128749
MAA,20200601,96998,1916,150918,"B,Q,N",95082
WDC,20200601,938555,7372,1834747,"B,Q,N",931183
HRL,20200601,363467,4763,493025,"B,Q,N",358704
KEY,20200601,733396,19648,2395847,"B,Q,N",713748
DRE,20200601,146915,3402,351165,"B,Q,N",143513
EXPD,20200601,51967,3380,165128,"B,Q,N",48587
QRVO,20200601,164521,1141,285084,"B,Q,N",163380
MLM,20200601,92384,425,168297,"B,Q,N",91959
EXR,20200601,116154,5708,160397,"Q,N",110446
GPC,20200601,100695,537,151686,"B,Q,N",100158
WAT,20200601,50450,755,66748,"Q,N",49695
VIAC,20200601,954337,15351,2464289,"B,Q,N",938986
FMC,20200601,58556,33,125050,"B,Q,N",58523
CXO,20200601,181741,3627,685181,"B,Q,N",178114
OMC,20200601,199111,20994,521040,"B,Q,N",178117
XYL,20200601,137384,200,204580,"B,Q,N",137184
STX,20200601,673905,2483,926360,"B,Q,N",671422
RF,20200601,1214055,12467,2308262,"Q,N",1201588
ATO,20200601,88894,1663,145126,"B,Q,N",87231
